"Approximate Active DACA Recipients:
Country of Birth
As of August 31, 2018",,,,,,,,,,,,,,,
Country of Birth,"Number 
(rounded)",,,,,,,,,,,,,,
Grand Total,"699,350",,,,,,,,,,,,,,
Mexico,"558,050",,,,,,,,,,,,,,
El Salvador,"26,520",,,,,,,,,,,,,,
Guatemala,"18,140",,,,,,,,,,,,,,
Honduras,"16,660",,,,,,,,,,,,,,
Peru,"7,160",,,,,,,,,,,,,,
"Korea, South","7,090",,,,,,,,,,,,,,
Brazil,"5,750",,,,,,,,,,,,,,
Ecuador,"5,340",,,,,,,,,,,,,,
Colombia,"4,870",,,,,,,,,,,,,,
Argentina,"3,860",,,,,,,,,,,,,,
Philippines,"3,760",,,,,,,,,,,,,,
Jamaica,"2,590",,,,,,,,,,,,,,
India,"2,550",,,,,,,,,,,,,,
Venezuela,"2,420",,,,,,,,,,,,,,
Dominican Republic,"2,330",,,,,,,,,,,,,,
Uruguay,"1,930",,,,,,,,,,,,,,
Trinidad And Tobago,"1,840",,,,,,,,,,,,,,
Bolivia,"1,640",,,,,,,,,,,,,,
Costa Rica,"1,560",,,,,,,,,,,,,,
Nicaragua,"1,390",,,,,,,,,,,,,,
Chile,"1,380",,,,,,,,,,,,,,
Poland,"1,380",,,,,,,,,,,,,,
Pakistan,"1,300",,,,,,,,,,,,,,
Nigeria,"1,030",,,,,,,,,,,,,,
Guyana,960,,,,,,,,,,,,,,
Belize,820,,,,,,,,,,,,,,
Canada,740,,,,,,,,,,,,,,
Indonesia,710,,,,,,,,,,,,,,
China,690,,,,,,,,,,,,,,
Kenya,670,,,,,,,,,,,,,,
United Kingdom,500,,,,,,,,,,,,,,
Portugal,490,,,,,,,,,,,,,,
Mongolia,470,,,,,,,,,,,,,,
Bangladesh,470,,,,,,,,,,,,,,
Ghana,470,,,,,,,,,,,,,,
Panama,430,,,,,,,,,,,,,,
Israel,360,,,,,,,,,,,,,,
Italy,340,,,,,,,,,,,,,,
"Bahamas, The",300,,,,,,,,,,,,,,
Saint Lucia,260,,,,,,,,,,,,,,
Albania,250,,,,,,,,,,,,,,
Taiwan,240,,,,,,,,,,,,,,
Jordan,230,,,,,,,,,,,,,,
Turkey,220,,,,,,,,,,,,,,
Germany,220,,,,,,,,,,,,,,
Paraguay,210,,,,,,,,,,,,,,
Thailand,190,,,,,,,,,,,,,,
Zambia,190,,,,,,,,,,,,,,
Saudi Arabia,190,,,,,,,,,,,,,,
South Africa,190,,,,,,,,,,,,,,
Egypt,180,,,,,,,,,,,,,,
Hong Kong,170,,,,,,,,,,,,,,
United Arab Emirates,170,,,,,,,,,,,,,,
Armenia,160,,,,,,,,,,,,,,
Ukraine,160,,,,,,,,,,,,,,
France,160,,,,,,,,,,,,,,
Haiti,150,,,,,,,,,,,,,,
Lithuania,150,,,,,,,,,,,,,,
Malaysia,150,,,,,,,,,,,,,,
Senegal,150,,,,,,,,,,,,,,
Russia,150,,,,,,,,,,,,,,
Grenada,140,,,,,,,,,,,,,,
Guinea,140,,,,,,,,,,,,,,
Japan,130,,,,,,,,,,,,,,
Liberia,130,,,,,,,,,,,,,,
Cameroon,130,,,,,,,,,,,,,,
Sri Lanka,120,,,,,,,,,,,,,,
Saint Vincent And The Grenadines,120,,,,,,,,,,,,,,
Zimbabwe,120,,,,,,,,,,,,,,
Côte D'Ivoire,120,,,,,,,,,,,,,,
"Gambia, The",120,,,,,,,,,,,,,,
Morocco,120,,,,,,,,,,,,,,
Suriname,120,,,,,,,,,,,,,,
Lebanon,110,,,,,,,,,,,,,,
Spain,110,,,,,,,,,,,,,,
