Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Region
Algeria,0,0,0,0,0,0,0,0,0,0,0,Africa
Angola,0,0,0,0,0,0,0,0,0,0,0,Africa
Benin,0,0,0,0,0,0,0,0,0,0,0,Africa
Botswana,0,0,0,0,0,0,0,2,0,0,0,Africa
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,Africa
Burundi,1,0,0,0,0,0,0,0,0,0,0,Africa
Cameroon,2,0,0,0,0,0,0,0,0,0,0,Africa
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,Africa
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,Africa
Chad,0,0,0,0,0,0,0,0,0,0,0,Africa
Comoros,0,0,0,0,0,0,0,0,0,0,0,Africa
"Congo, Republic",0,0,0,0,0,0,0,0,1,1,1,Africa
"Congo, the Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,Africa
Cote d'Ivoire,2,0,0,0,0,0,0,0,0,0,0,Africa
Djibouti,0,0,0,0,0,0,0,0,0,0,0,Africa
Egypt,4,2,2,0,0,0,0,0,0,0,0,Africa
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,Africa
Eritrea,0,0,0,0,0,0,0,0,0,0,0,Africa
Ethiopia,0,1,0,0,1,0,0,0,0,0,0,Africa
Gabon,0,0,0,0,0,0,0,0,0,0,0,Africa
Gambia,0,0,0,0,0,0,0,0,0,0,0,Africa
Ghana,22,4,9,1,2,1,1,0,0,0,0,Africa
Guinea,0,0,0,0,0,0,0,0,0,0,0,Africa
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,Africa
Kenya,2,1,0,0,0,0,0,0,0,0,0,Africa
Lesotho,0,0,0,0,0,0,0,0,0,0,0,Africa
Liberia,0,0,0,0,0,1,0,0,0,0,0,Africa
Libya,0,0,0,0,0,0,0,0,0,0,0,Africa
Madagascar,0,0,0,0,0,0,0,0,0,0,0,Africa
Malawi,0,1,0,0,0,0,0,0,0,0,0,Africa
Mali,1,3,0,0,0,0,0,0,0,0,0,Africa
Mauritania,0,0,0,0,0,0,0,0,0,0,0,Africa
Mauritius,1,1,1,0,0,0,0,0,0,0,0,Africa
Morocco,0,0,0,0,9,0,0,0,0,0,0,Africa
Mozambique,0,0,0,0,0,0,0,0,0,0,0,Africa
Namibia,8,24,2,0,0,0,1,1,1,0,0,Africa
Niger,0,0,0,0,0,0,0,0,0,0,0,Africa
Nigeria,1,1,0,0,0,1,0,0,1,3,1,Africa
Rwanda,0,0,0,0,0,0,0,0,0,0,0,Africa
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,Africa
Senegal,0,0,0,0,0,0,0,0,0,0,0,Africa
Seychelles,0,0,0,0,0,0,0,0,0,0,0,Africa
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,Africa
Somalia,0,0,0,0,0,0,0,0,0,0,0,Africa
South Africa,"1,486","1,963","1,387","1,151","1,264","1,301","1,409","1,779","1,280","1,977","1,538",Africa
South Sudan,,,,,0,0,0,0,0,0,0,Africa
Sudan,0,0,0,0,0,0,0,0,0,0,0,Africa
Swaziland,0,0,0,0,0,0,1,0,0,0,0,Africa
Tanzania,0,2,0,0,0,0,0,0,0,0,0,Africa
Togo,0,0,0,0,0,0,0,0,0,0,0,Africa
Tunisia,0,0,0,0,0,0,0,0,0,0,0,Africa
Uganda,0,0,0,0,0,0,0,0,0,0,0,Africa
Zambia,1,0,0,0,1,1,1,1,0,0,1,Africa
Zimbabwe,5,3,1,2,2,2,1,3,1,0,3,Africa
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,Asia
Bahrain,0,0,0,0,0,0,0,0,0,0,0,Asia
Bangladesh,1,2,0,0,0,0,0,0,0,0,0,Asia
Bhutan,0,0,0,0,0,0,0,0,0,0,0,Asia
Brunei,0,0,0,0,0,0,0,0,0,0,0,Asia
Burma,0,0,0,0,0,0,0,0,0,0,0,Asia
Cambodia,0,0,0,0,0,0,0,0,0,0,0,Asia
China,301,341,296,2,0,0,0,0,0,0,0,Asia
Taiwan,19,8,1,0,0,0,0,1,0,0,0,Asia
Hong Kong,0,1,0,0,0,0,1,0,0,0,0,Asia
India,702,298,16,13,2,2,2,2,2,2,0,Asia
Indonesia,420,448,339,410,53,0,0,0,0,0,0,Asia
Iran,2,0,0,0,0,0,0,1,1,0,0,Asia
Iraq,0,0,0,0,0,0,0,0,0,0,0,Asia
Israel,999,"1,496",381,283,4,7,13,7,9,5,0,Asia
Japan,193,222,256,279,292,296,294,289,267,232,223,Asia
Jordan,1,0,0,0,0,0,0,0,0,0,0,Asia
North Korea,0,0,0,0,0,0,0,0,0,0,0,Asia
South Korea,156,36,15,20,103,23,168,19,11,1,2,Asia
Kuwait,0,0,0,0,0,0,0,0,0,0,0,Asia
Laos,0,0,0,0,0,0,0,0,0,0,0,Asia
Lebanon,6,5,0,0,0,0,0,0,0,0,0,Asia
Macao,0,1,1,1,0,0,0,0,0,0,0,Asia
Malaysia,0,1,3,9,0,0,0,0,0,0,0,Asia
Maldives,0,0,0,0,0,0,0,0,0,0,0,Asia
Mongolia,2,1,0,0,0,0,0,0,0,0,0,Asia
Nepal,171,316,36,4,1,0,0,0,0,0,0,Asia
Oman,0,0,0,0,0,0,0,0,0,0,0,Asia
Pakistan,5,1,0,1,0,0,0,0,0,0,0,Asia
"Palestinian Territory, Occupied",0,0,0,0,0,0,0,0,0,0,0,Asia
Philippines,"2,639","3,872","1,707","1,518","1,039",772,935,889,"1,697",835,767,Asia
Qatar,0,1,0,0,0,0,0,0,0,0,0,Asia
Saudi Arabia,0,0,0,0,0,0,0,0,0,1,0,Asia
Singapore,1,0,1,0,0,1,0,1,0,0,0,Asia
Sri Lanka,5,0,0,0,0,0,0,0,0,0,0,Asia
Syria,0,0,0,0,0,0,0,0,0,0,0,Asia
Thailand,16,15,17,6,2,0,1,3,25,5,0,Asia
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,Asia
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,Asia
Vietnam,19,75,0,0,0,0,0,0,0,0,0,Asia
Yemen,0,0,0,0,0,0,0,0,0,0,0,Asia
Albania,18,5,0,0,0,0,0,0,0,0,0,Europe
Andorra,0,0,0,0,0,0,0,0,0,0,0,Europe
Armenia,3,0,0,0,0,0,0,0,0,0,0,Europe
Austria,50,31,2,4,10,3,0,12,16,15,12,Europe
Azerbaijan,0,1,1,0,0,0,0,0,0,0,0,Europe
Belarus,0,0,0,0,0,0,0,0,0,1,0,Europe
Belgium,15,11,3,1,0,0,2,3,1,1,3,Europe
Bosnia and Herzegovina,2,5,1,0,0,0,0,0,0,0,0,Europe
Bulgaria,808,235,121,163,219,140,181,252,201,293,134,Europe
Croatia,8,10,4,4,2,2,4,24,17,8,11,Europe
Cyprus,0,0,0,0,0,0,0,0,0,0,1,Europe
Czech Republic,175,72,16,9,6,1,12,19,26,169,66,Europe
Denmark,10,5,1,2,1,1,3,1,2,5,2,Europe
Estonia,8,4,1,2,1,0,1,1,4,0,5,Europe
Finland,8,8,0,0,1,0,0,1,2,1,0,Europe
France,49,44,7,12,5,5,3,3,8,9,8,Europe
Georgia,2,0,0,0,0,0,0,0,0,0,0,Europe
